Breakdown,Values,Description,Notes
Age,"HE participation by age 19, HE participation by age 25","Charts and tables throughout this dashboard reference the academic year that each cohort was aged 15 and who went on to participate in higher education by 19 or 25. Ages are those recorded on 31st of August at the start of the academic year. For example, a pupil aged 15 in 2001/02 (our earliest cohort), was aged 20 in 2006/07, aged 25 in 2011/12, and aged 30 in 2016/17.",
Care Leavers,"All Other Pupils, Care Leaver","A care leaver is defined as a young person looked after for at least 13 weeks following their 14th birthday, including some time after their 16th birthday, who ceased to be looked after and turned 17 to 25 in the reporting year (to 31st March).",1. This publication presents figures for state-funded and special school pupils who were 15 at the start of the academic year who were later known to be care leavers at age 19. <br> 2. Information provided for 17-21 year olds relates to contact around their birthday in the reporting year. <br> 3. Figures for care leavers are rounded to the nearest whole number.
Children in Need,"All Other Pupils, Children in Need","A child in need is defined under the <a href=""https://www.legislation.gov.uk/ukpga/1989/41/contents"" target=""_blank"">Children Act 1989 (opens in new tab)</a> as a child who is unlikely to reach or maintain a satisfactory level of health or development, or their health or development will be significantly impaired without the provision of services, or the child is disabled. ",1. This publication presents figures for Children in Need at 31st March for state-funded and special school pupils who were 15 at the start of the academic year. <br> 2. Note that Looked After Children are a subset of Children in Need. <br> 3. Figures for Children in Need are rounded to the nearest whole number.
Disadvantage,"Disadvantaged, All Other Pupils",A pupil is defined as disadvantaged if they were eligible for Free School Meals (FSM) at age 15 or at any point in the previous six years.,"1. The proportion of disadvantaged pupils changes over time, which can affect the comparability of the figures."
Ethnic Group,"Asian / Asian British, Black / African / Caribbean / Black British, Mixed / Multiple ethnic groups, Other ethnic group, White","Broad ethnic group, aligned to GSS standards.",1. The Asian ethnic group includes Chinese pupils.
First Language,"English, Other than English",A pupil is recorded to have a first language other than English if they are exposed to a language at home that is known or believed to be other than English.,
Free School Meals,"All Other Pupils, Free School Meals (on Participation rates by characteristic tab), FSM, non-FSM (on Participation rates by region and local authority tab)",Eligibility for Free School Meals (FSM) at age 15,"1. The proportion of pupils eligible for Free School Meals (FSM) changes over time, which can affect the comparability of the figures."
Looked After Children,"All Other Pupils, Looked after continuously for 12 months or more","A child is looked after by a local authority under the <a href=""https://www.legislation.gov.uk/ukpga/1989/41/contents"" target=""_blank"">Children Act 1989 (opens in new tab)</a> if they fall into one of the following: is provided with accommodation, for a continuous period of more than 24 hours [Children Act 1989, Section 20 & 21]; is subject to a care order [Children Act 1989, Part IV]; or is subject to a placement order. ",1. This publication presents figures for Children looked after continuously for 12 months or more at 31st March for state-funded and special school pupils who were 15 at the start of the academic year. <br> 2. Note that Looked After Children are a subset of Children in Need. <br> 3. Figures for Looked After Children are rounded to the nearest whole number.
POLAR,"Q1 - Most Disadvantaged, Q2, Q3, Q4, Q5 - Most Advantaged","<a href=""https://www.officeforstudents.org.uk/data-and-analysis/young-participation-by-area/about-polar-and-adult-he/"" target=""_blank"">Participation of Local Areas (POLAR) (opens in new tab)</a> is produced by the Office for Students (OfS) and classifies small areas across the UK into five groups according to their level of young participation in HE. Each of these groups represents around 20 per cent of young people and are ranked from quintile 1 (Q1) (areas with the lowest young participation rates, considered as the most disadvantaged) to quintile 5 (Q5) (highest young participation rates, considered most advantaged).","1. Participation of Local Areas (POLAR) has been updated over the years to POLAR2, POLAR3 and POLAR4. This publication presents information using POLAR4."
School Type,"Independent, Other State, Selective State",School type refers to the type of school in which pupils took their A levels.,"1. There has been continued reform to KS5 qualifications and methodological changes in the way the KS5 cohort is counted. It is not possible to directly compare figures for HE progression rates from 2017/18 with earlier years and further changes in recent year have added further volatility to the time series. <br> 2. From 2017/18 the cohort includes students who took a single AS level (as well as those combining one AS level with vocational qualifications). We would expect these students to have lower progression rates than in the past when the threshold for inclusion in school performance measures was at least one A level. The change has most impact on the state-funded students, who are more likely to study AS levels. <br> 3. While the rest of the publication relates specifically to students in state-funded schools, the school type breakdown includes estimates for independent schools. <br> 4. Prior attainment is not accounted for in this measure. Many pupils may not achieve the required Level 3 qualifications to progres to HE."
